poi_name,brand,latitude,longitude,shape_surface,postcode,index_to_benchmark_local,footfall_area_id,footfall_index
le PARIS HALLES café,,48.86139,2.34944,453,75001,1.7003442370469344,891fb4662c3ffff,0.95493563120467562
le PARIS HALLES café,,48.86139,2.34944,453,75001,1.7003442370469344,891fb4662c3ffff,0.96587024477263816
Hôtel Costes,,48.86628,2.32797,1249,75001,1.7003442370469344,891fb467587ffff,0.761252522513296
Hôtel Costes,,48.86628,2.32797,1249,75001,1.7003442370469344,891fb467587ffff,0.78116583568716558
Café 52,,48.86311,2.3379,478,75001,1.7003442370469344,891fb4675afffff,0.76745832393888413
Café 52,,48.86311,2.3379,478,75001,1.7003442370469344,891fb4675afffff,0.78862371455225866
La _ Dolce Vita,,48.86208,2.34877,102,75001,1.7003442370469344,891fb4662c3ffff,0.95493563120467562
La _ Dolce Vita,,48.86208,2.34877,102,75001,1.7003442370469344,891fb4662c3ffff,0.96587024477263816
Clover Grill,,48.86101,2.34198,1249,75001,1.7003442370469344,891fb4662dbffff,0.82827631301068072
Clover Grill,,48.86101,2.34198,1249,75001,1.7003442370469344,891fb4662dbffff,0.83725071315824839
Le Scone Café,,48.85824,2.34417,1249,75001,1.7003442370469344,891fb467527ffff,0.72387957936616953
Le Scone Café,,48.85824,2.34417,1249,75001,1.7003442370469344,891fb467527ffff,0.746575424780814
Salon des Manufactures,,48.86632,2.33848,197,75001,1.7003442370469344,891fb4675b7ffff,0.75977506816643314
Salon des Manufactures,,48.86632,2.33848,197,75001,1.7003442370469344,891fb4675b7ffff,0.78039015205091555
Restaurant LUMEN,,48.86532,2.33307,1249,75001,1.7003442370469344,891fb4675bbffff,0.77811582609692587
Restaurant LUMEN,,48.86532,2.33307,1249,75001,1.7003442370469344,891fb4675bbffff,0.79622340398133551
Nylsa Caffé,,48.86154,2.34887,149,75001,1.7003442370469344,891fb4662c3ffff,0.95493563120467562
Nylsa Caffé,,48.86154,2.34887,149,75001,1.7003442370469344,891fb4662c3ffff,0.96587024477263816
Le 202 Rivoli,,48.86503,2.33065,1249,75001,1.7003442370469344,891fb4675bbffff,0.77811582609692587
Le 202 Rivoli,,48.86503,2.33065,1249,75001,1.7003442370469344,891fb4675bbffff,0.79622340398133551
Le Cosy,,48.86626,2.3271,1249,75001,1.7003442370469344,891fb467583ffff,0.75328197513286455
Le Cosy,,48.86626,2.3271,1249,75001,1.7003442370469344,891fb467583ffff,0.77229878856549172
Beccuti Bar,,48.86063,2.34126,1249,75001,1.7003442370469344,891fb467537ffff,0.81684357103283811
Beccuti Bar,,48.86063,2.34126,1249,75001,1.7003442370469344,891fb467537ffff,0.83330968941914629
Bistrot du Commerce,,48.86362,2.34331,1249,75001,1.7003442370469344,891fb4662d3ffff,0.82462090948811828
Bistrot du Commerce,,48.86362,2.34331,1249,75001,1.7003442370469344,891fb4662d3ffff,0.83806848783266574
Maison Maison,,48.85846,2.34138,3773,75001,1.7003442370469344,891fb467537ffff,0.81684357103283811
Maison Maison,,48.85846,2.34138,3773,75001,1.7003442370469344,891fb467537ffff,0.83330968941914629
Tieb Food,,48.8645,2.34054,97,75001,1.7003442370469344,891fb4675a7ffff,0.76019973074776015
Tieb Food,,48.8645,2.34054,97,75001,1.7003442370469344,891fb4675a7ffff,0.77549321992933784
Manoj Saini,,48.86745,2.32943,41,75001,1.7003442370469344,891fb467587ffff,0.761252522513296
Manoj Saini,,48.86745,2.32943,41,75001,1.7003442370469344,891fb467587ffff,0.78116583568716558
MAR'CO,,48.86527,2.3318,92,75001,1.7003442370469344,891fb4675bbffff,0.77811582609692587
MAR'CO,,48.86527,2.3318,92,75001,1.7003442370469344,891fb4675bbffff,0.79622340398133551
Cojean,COJEAN,48.86686,2.33423,759,75001,1.7003442370469344,891fb4675b3ffff,0.82044252273535412
Cojean,COJEAN,48.86686,2.33423,759,75001,1.7003442370469344,891fb4675b3ffff,0.84107606461956841
Madame Rêve Café,,48.86458,2.34294,1,75001,1.7003442370469344,891fb4675a7ffff,0.76019973074776015
Madame Rêve Café,,48.86458,2.34294,1,75001,1.7003442370469344,891fb4675a7ffff,0.77549321992933784
Maison Popeille,,48.86697,2.33246,1249,75001,1.7003442370469344,891fb4675b3ffff,0.82044252273535412
Maison Popeille,,48.86697,2.33246,1249,75001,1.7003442370469344,891fb4675b3ffff,0.84107606461956841
Taverne De Maître Kanter,,48.8637,2.34306,1249,75001,1.7003442370469344,891fb4662dbffff,0.82827631301068072
Taverne De Maître Kanter,,48.8637,2.34306,1249,75001,1.7003442370469344,891fb4662dbffff,0.83725071315824839
Fred et Ginger,,48.86409,2.34377,1249,75001,1.7003442370469344,891fb4662d3ffff,0.82462090948811828
Fred et Ginger,,48.86409,2.34377,1249,75001,1.7003442370469344,891fb4662d3ffff,0.83806848783266574
Loft Burger Paris,LOFT,48.86219,2.34024,275,75001,1.7003442370469344,891fb4675afffff,0.76745832393888413
Loft Burger Paris,LOFT,48.86219,2.34024,275,75001,1.7003442370469344,891fb4675afffff,0.78862371455225866
Bar Vendôme,,48.86812,2.32856,1340,75001,1.7003442370469344,891fb467587ffff,0.761252522513296
